Electrolyte Lot No,RF Lot No,Count,,RF Lot No,OK Count,NFF Count,SCRAP Count,,RF Lot No,OLD PCB,BARCODE MISSING,DRV BURN,TRACK DAMAGE,CHILD CARD,WATER DAMAGE,COMPONENT CHANGE,,Part Code,OK Count,NFF Count,SCRAP Count,,Component,Total Count
LOT NO 01,RF LOT NO 44,8,,RF LOT NO 44,8,0,3,,RF LOT NO 44,1,0,2,0,0,0,8,,SA0019,7801,0,4864,,DRV,5323
LOT NO 01,RF LOT NO 54,169,,RF LOT NO 54,169,0,24,,RF LOT NO 54,2,0,3,1,0,0,187,,SA0021,407,0,1422,,RED WIRE,3612
LOT NO 01,RF LOT NO 60,93,,RF LOT NO 60,123,0,78,,RF LOT NO 60,7,0,11,4,0,0,179,,SA0011,10131,0,8639,,BLACK WIRE,3300
LOT NO 01,RF LOT NO 75,37,,RF LOT NO 75,37,0,67,,RF LOT NO 75,2,0,59,3,0,0,40,,SA0061,9702,0,1390,,J2,2549
LOT NO 01,RF LOT NO 62,95,,RF LOT NO 62,107,0,33,,RF LOT NO 62,1,0,6,2,0,0,131,,SA0038,738,0,997,,L2,1732
LOT NO 01,RF LOT NO 68,109,,RF LOT NO 68,153,0,233,,RF LOT NO 68,125,0,52,9,0,0,200,,SA0039,614,0,1304,,C20,379
LOT NO 01,RF LOT NO 61,101,,RF LOT NO 61,101,0,46,,RF LOT NO 61,10,0,3,2,0,0,132,,SA0087,109,0,488,,Q1,589
LOT NO 01,RF LOT NO 55,113,,RF LOT NO 55,113,0,21,,RF LOT NO 55,0,0,6,0,0,0,128,,SA0060,4048,0,1694,,F1,9249
LOT NO 01,RF LOT NO 70,69,,RF LOT NO 70,124,0,120,,RF LOT NO 70,17,0,72,5,0,0,150,,,,,,,MOV,1928
LOT NO 01,RF LOT NO 56,162,,RF LOT NO 56,162,0,4,,RF LOT NO 56,0,0,0,0,0,0,166,,,,,,,BD1,8389
LOT NO 01,RF LOT NO 71,152,,RF LOT NO 71,163,0,70,,RF LOT NO 71,2,0,17,37,0,0,177,,,,,,,J3,1120
LOT NO 01,RF LOT NO 73,50,,RF LOT NO 73,50,0,61,,RF LOT NO 73,8,0,44,7,0,0,52,,,,,,,L1,2159
LOT NO 01,RF LOT NO 74,189,,RF LOT NO 74,219,0,115,,RF LOT NO 74,23,0,14,33,0,0,264,,,,,,,C4,1958
LOT NO 01,RF LOT NO 58,191,,RF LOT NO 58,191,0,7,,RF LOT NO 58,0,0,1,1,0,0,196,,,,,,,T1,433
LOT NO 01,RF LOT NO 72,4616,,RF LOT NO 72,4623,0,852,,RF LOT NO 72,578,56,60,57,0,0,4724,,,,,,,C1,60
LOT NO 01,RF LOT NO 48,81,,RF LOT NO 48,81,0,0,,RF LOT NO 48,0,0,0,0,0,0,81,,,,,,,C5,4899
LOT NO 01,RF LOT NO 38,25,,RF LOT NO 38,25,0,10,,RF LOT NO 38,3,0,1,1,0,0,30,,,,,,,6UF CAP,196
LOT NO 01,RF LOT NO 41,9,,RF LOT NO 41,9,0,9,,RF LOT NO 41,1,0,0,1,0,0,16,,,,,,,D1,2541
LOT NO 01,RF LOT NO 47,30,,RF LOT NO 47,30,0,5,,RF LOT NO 47,0,0,2,1,0,0,32,,,,,,,D2,1394
LOT NO 01,RF LOT NO 43,2,,RF LOT NO 43,2,0,2,,RF LOT NO 43,0,0,0,0,0,0,4,,,,,,,R5,145
LOT NO 01,RF LOT NO 52,52,,RF LOT NO 52,52,0,2,,RF LOT NO 52,0,0,1,0,0,0,53,,,,,,,R100,6464
LOT NO 01,RF LOT NO 49,38,,RF LOT NO 49,38,0,3,,RF LOT NO 49,1,0,1,0,0,0,39,,,,,,,LM358,2390
LOT NO 01,RF LOT NO 30,152,,RF LOT NO 30,152,0,0,,RF LOT NO 30,0,0,0,0,0,0,152,,,,,,,D3,693
LOT NO 01,RF LOT NO 50,48,,RF LOT NO 50,48,0,1,,RF LOT NO 50,1,0,0,0,0,0,48,,,,,,,C12,137
