Spare Part Code,Component,Description,Count,Spare Part Code,Status,Status Description,Status Count,Part Code,Total Entries,DC No,Part Code,Count
974290,S,N/A,9593,974290,NFF,No Fault Found,118,974290,815,RC2527000784,974290,815
974290,LED,N/A,757,974290,OK,Repair OK,697,971039,1359,RC2527000784,971039,1359
974290,S13CN1,N/A,1,971039,OK,Repair OK,1043,971065,42,RC2527000514,971065,42
974290,U2,N/A,1,971039,NFF,No Fault Found,316,971089,75,RC2527000998,971089,75
974290,CN1,N/A,3,971065,OK,Repair OK,39,974284,99,RC2527000784,974284,99
974290,C4,N/A,1,971065,NFF,No Fault Found,3,971040,23,RC2527000784,971040,23
971039,EC1,10uF/500V  105◦C,654,971089,OK,Repair OK,71,971084,141,RC2527000784,971084,60
971039,R9,620E 1/2W 5%,80,971089,NFF,No Fault Found,4,974278,70,RC2527000601,971084,8
971039,Q1,SS8550,16,974284,OK,Repair OK,80,,,RC2527000998,971084,73
971039,BZ,Buzzer,70,974284,NFF,No Fault Found,19,,,RC2527000998,974278,70
971039,VR1,Varistor VDR-10D561K(11D),139,971040,OK,Repair OK,16,,,,,
971039,IC1,CSC7222 DIP-8,306,971040,NFF,No Fault Found,7,,,,,
971039,R1,51E 2W 5%,291,971084,OK,Repair OK,111,,,,,
971039,F1,"16A/250V, 6*30mm Ceramic Fuse",83,971084,NFF,No Fault Found,30,,,,,
971039,PCB_LUG,6.3mm Vertical PCB Lug,181,974278,OK,Repair OK,59,,,,,
971039,CX1,"0.1uF/275VAC, Box Cap",63,974278,NFF,No Fault Found,11,,,,,
971039,EC3,220uF/25V 105◦C,47,,,,,,,,,
971039,EC2,22uF/50V  105◦C,84,,,,,,,,,
971039,TR1,BTB16-800 Triac 16A/800V,20,,,,,,,,,
971039,U1,78L05 Regulator,54,,,,,,,,,
971039,R6,100K 1/4W 5%,15,,,,,,,,,
971039,R7,33E 1/4W 5%,16,,,,,,,,,
971039,R2,51E 1/2W 5%,76,,,,,,,,,
971039,D1,Diode IN4007,20,,,,,,,,,
971039,D2,Diode IN4007,3,,,,,,,,,
971039,D3,Diode FR107 1A,3,,,,,,,,,
971039,D4,BYV26C Diode,7,,,,,,,,,
971039,EC5,100uF/16V  105◦C,36,,,,,,,,,
971039,VR2,Varistor VDR-10D561K(11D),83,,,,,,,,,
971039,Q2,SS8550,10,,,,,,,,,
971039,EC4,1uF/50V 105◦C,36,,,,,,,,,
971039,FAN,N/A,5,,,,,,,,,
971039,L1,N/A,24,,,,,,,,,
971039,Z1,IN4745A 16V 1W Zener Diode,10,,,,,,,,,
971039,T1,N/A,5,,,,,,,,,
971039,C6,N/A,1,,,,,,,,,
971039,R11,1K 1/4W 5%,10,,,,,,,,,
971039,R18,820K 1/2W 5%,6,,,,,,,,,
971039,R10,4.7E 1/2W 5%,4,,,,,,,,,
971039,CN1,N/A,3,,,,,,,,,
971039,R5,8.2K 1/4W 5%,1,,,,,,,,,
971039,C1,N/A,1,,,,,,,,,
971065,K,N/A,413,,,,,,,,,
971065,CON1,N/A,7,,,,,,,,,
971065,LED,N/A,23,,,,,,,,,
971089,F1,N/A,66,,,,,,,,,
971089,IGBT,N/A,67,,,,,,,,,
971089,R9,N/A,4,,,,,,,,,
971089,EC10,N/A,5,,,,,,,,,
971089,PCB_LUG,N/A,3,,,,,,,,,
971089,T1,N/A,3,,,,,,,,,
971089,LO1,N/A,1,,,,,,,,,
971089,EC4,N/A,3,,,,,,,,,
971089,D10,N/A,1,,,,,,,,,
974284,S,N/A,1045,,,,,,,,,
974284,LED,N/A,22,,,,,,,,,
974284,CN1,N/A,1,,,,,,,,,
974284,U1,N/A,3,,,,,,,,,
974284,U2,N/A,1,,,,,,,,,
971040,U1,N/A,13,,,,,,,,,
971040,R5,N/A,1,,,,,,,,,
971040,K,N/A,8,,,,,,,,,
971040,LED,N/A,2,,,,,,,,,
971084,S,N/A,327,,,,,,,,,
971084,LED,N/A,160,,,,,,,,,
971084,CN1,N/A,3,,,,,,,,,
971084,U2,N/A,8,,,,,,,,,
974278,S,N/A,210,,,,,,,,,
974278,LED,N/A,203,,,,,,,,,
